Nº do Processo,Marca,Situação,Apresentação,Natureza,Apostila
918466059,COOPROPAM,Pedido definitivamente arquivado,Mista,Coletiva,
918995710,Ministério Nações por Herança,Pedido definitivamente arquivado,Mista,Coletiva,
918995892,MISSÕES ESPONTÂNEAS,Pedido definitivamente arquivado,Mista,Coletiva,
920193480,UBTG UNIÃO BRASILEIRA DA TRADIÇÃO GAÚCHA,Registro de marca em vigor,Mista,Coletiva,
920886922,REDE SERVE MAIS,Registro de marca em vigor,Mista,Coletiva,
920897720,"ATAPIBR - ASSOCIAÇÃO DOS TRABALHADORES, APOSENTADOS, PENSIONISTAS E IDOSOS DO BRASIL",Pedido definitivamente arquivado,Mista,Coletiva,
922141045,"SINTEP-MT FILIADO À CUT E A CNTE LIVRE, DEMOCRÁTICO E DE LUTA!",Pedido definitivamente arquivado,Mista,Coletiva,
924082046,JUDÔ ? EDUCANDO E FORMANDO CIDADÃO,Pedido definitivamente arquivado,Nominativa,Coletiva,
924653086,REDE SERVE MAIS,Registro de marca em vigor,Mista,Coletiva,
925557994,SERVE MAIS ATACADISTA,Registro de marca em vigor,Mista,Coletiva,
925558176,SERVE MAIS,Registro de marca em vigor,Mista,Coletiva,
925558389,SERVE MAIS,Registro de marca em vigor,Mista,Coletiva,
925558508,SERVE MAIS,Pedido de registro de marca indeferido (mantido em grau de recurso),Mista,Coletiva,
925558745,SERVE MAIS,Registro de marca em vigor,Mista,Coletiva,
925558931,SERVE MAIS,Registro de marca em vigor,Mista,Coletiva,
925559083,SERVE MAIS,Registro de marca em vigor,Mista,Coletiva,
925968307,BIGCOOPER,Registro de marca em vigor,Mista,Coletiva,
926498665,,Pedido considerado inexistente,Tridimensional,Coletiva,
926558714,TOP FEST,Pedido definitivamente arquivado,Nominativa,Coletiva,
927118750,Pecus,Pedido definitivamente arquivado,Mista,Coletiva,
927503549,CASUALCOUNTRYSTORETraduçãoLOJA DE PAÍS CASUAL,Pedido definitivamente arquivado,Mista,Coletiva,
928082075,PULVERIZAR,Pedido definitivamente arquivado,Mista,Coletiva,
928115658,Tangará Carros Antigos,Registro de marca em vigor,Mista,Coletiva,
928209997,Santo Agro Pneus,Pedido definitivamente arquivado,Mista,Coletiva,
928804909,SERVIR SOLIDÁRIO,Aguardando exame de mérito,Mista,Coletiva,
929449592,Associação Brasileira dos Direitos Individual e Coletivo (ABDIC),Pedido definitivamente arquivado,Mista,Coletiva,
929912691,ASSOCIAÇÃO AMIGOS PARA O BEM,Aguardando exame de mérito,Mista,Coletiva,
931784174,,Pedido considerado inexistente,Mista,Coletiva,
932817920,COANORTE,Aguardando exame de mérito,Mista,Coletiva,
932898688,IMOBILIÁRIA META,Pedido definitivamente arquivado,Mista,Coletiva,
